pair,feat_a,feat_b,H
O__Temp,O,Temp,0.5362311249124654
N__Ash,N,Ash,0.3021883210129322
O__Ash,O,Ash,0.23459446149337748
N__Temp,N,Temp,0.23092257074372405
N__FC,N,FC,0.22011977574590438
Ash__FC,Ash,FC,0.20342191887931008
Ash__Temp,Ash,Temp,0.20209681558946757
O__FC,O,FC,0.17080650404081177
FC__Temp,FC,Temp,0.1622315179248407
N__O,N,O,0.10468319369922338
C__N,C,N,4.625044712761026e-15
C__Ash,C,Ash,4.117430079665083e-15
C__FC,C,FC,4.012084666914857e-15
C__O,C,O,3.4620414407993897e-15
O__RT,O,RT,3.303479504963697e-15
O__VM,O,VM,3.285771349810722e-15
H__O,H,O,3.2577725902624106e-15
O__HR,O,HR,3.2529301825630148e-15
FC__RT,FC,RT,3.080174400572937e-15
FC__HR,FC,HR,2.9163224776335293e-15
N__RT,N,RT,2.900652816666322e-15
C__H,C,H,2.8981026644823205e-15
H__FC,H,FC,2.8784031787554333e-15
H__Ash,H,Ash,2.7886533358824102e-15
VM__FC,VM,FC,2.7375419884961143e-15
Ash__RT,Ash,RT,2.5738091234919812e-15
C__RT,C,RT,2.5463666861006193e-15
N__HR,N,HR,2.5324345903797383e-15
VM__Ash,VM,Ash,2.526670138205334e-15
C__VM,C,VM,2.4951326413763295e-15
Ash__HR,Ash,HR,2.4220283588773803e-15
H__HR,H,HR,2.420500240359814e-15
H__VM,H,VM,2.410054955148249e-15
H__RT,H,RT,2.3287968117968686e-15
C__HR,C,HR,2.2392228082394554e-15
VM__HR,VM,HR,2.1975716303406992e-15
VM__RT,VM,RT,2.1031584707189015e-15
RT__HR,RT,HR,2.097703602246673e-15
H__N,H,N,2.0645664858584686e-15
N__VM,N,VM,1.9593725003584435e-15
C__Temp,C,Temp,7.52313589667884e-16
Temp__RT,Temp,RT,6.917401340114872e-16
H__Temp,H,Temp,6.570480887631687e-16
Temp__HR,Temp,HR,6.554745266124106e-16
VM__Temp,VM,Temp,6.134413196943751e-16
